PROBE_ID_REF,GENE_IDENTIFIER,GSM12587,GSM12588,GSM12589,GSM12590,GSM12591,GSM12592,GSM12593,GSM12594,GSM12595,GSM12596,GSM12597,GSM12598,GSM12599,GSM12600,GSM12601,GSM12602,GSM12603,GSM12604,GSM12605,GSM12606
AF000231_at,RAB11A,163.3,114.9,128.5,195.9,163.6,239.4,279,236.9,147.4,128.1,225.6,211.4,109.9,172.5,189.8,120.3,237.4,177.5,205.4,208.3
AF000234_at,P2RX4,347.1,283.8,383.5,303.3,314.8,214,175.9,323.8,242.9,336.5,542.5,245.6,272.2,389.2,187.9,131.1,196.5,149.4,177.6,307.9
AF000424_s_at,LST1,5484.3,1899.2,3186.6,2065,1345.3,1330.7,1975.8,2106.5,3514.7,891.8,4434.1,5441.9,3650.6,2720.4,1350.3,1627.8,2415.5,1410.5,1651,2537.6
AF000430_at,DNM1L,56.5,26.6,25.7,16,46.4,71.2,56.6,73.1,29.3,50.8,63.5,15.7,8.8,61.6,63.4,40.4,18.5,28.9,51.4,65.4
AF000545_at,P2RY10,165.4,186.5,237.1,517.4,282.7,250.9,242.1,357.2,179.5,136,186.2,156.9,195.9,178.4,372.6,240.4,253.7,314.4,328.7,409.6
AF000560_at,ZNF787,315.1,285.3,277.9,239.8,130.4,128,181.5,299,265.1,287.2,339.7,375.8,224.2,398.5,275.1,235.3,352.1,128.1,207.8,245.8
AF000562_at,UPK2,81.3,56.8,224.4,245.2,223.6,170.3,119.4,169.6,172.8,46,36,224.9,71,49.3,310.9,222.8,75.2,92,164.2,89.5
AF000573_rna1_at,HGD,79,10.6,62.7,56.1,108.4,128.6,111,298.3,77.6,31.9,167.6,12.9,33.2,87.3,103.1,71.1,219.2,191.8,147.6,91.6
AF000959_at,CLDN5,181.3,50.3,129,412.4,218.5,572.4,678.9,1247.7,96.3,218.6,620,69.7,237.6,506,536,277.2,370.1,1019.2,289.2,548
AF001294_at,PHLDA2,220.1,10.6,231.9,92,48.9,25.9,22.7,76.8,16.9,119.5,103,111.6,119,97.5,16,56.8,89.7,34.3,15.3,15.3
AF001359_f_at,MLH1,441,323.9,492,434.3,495.2,586.4,527,529.2,692,342.9,399.4,510.9,538.1,504.1,620.1,640.7,574.4,537,538.5,663.1
AF001548_rna1_at,MYH11,39.6,26.1,101.6,71.7,15.7,68.7,24.7,38.1,78.7,78.4,26.8,92.3,70.9,64.4,39.8,113.7,41.2,68.7,49.7,54.1
AF001620_at,MYOC,5.8,3.8,3.2,3.1,5.1,1.5,2.5,2.7,4.5,3,3.7,14.5,4.6,21.7,5.7,1.4,4.5,5.9,4.7,15.7
AF001787_s_at,UCP3,9.9,2.9,18.4,5,40.5,3.6,4.8,27.5,7.3,2.9,4,6.6,28.4,17,3,3.7,2.7,2.8,16.4,4
AF002020_at,NPC1,335.4,152.6,248.5,202.7,350.3,264.6,185,295.5,328.9,175.3,287.6,335.8,180.9,212.3,122.5,195.8,196.5,334.2,256,376.4
